[Epoch 1 | Batch 115] Total IL loss: 1.2790
[Epoch 1 | Batch 116] Total IL loss: 1.2930
[Epoch 1 | Batch 117] Total IL loss: 1.2371
[Epoch 1 | Batch 118] Total IL loss: 1.3861
[Epoch 1 | Batch 119] Total IL loss: 1.2569
[Epoch 1 | Batch 120] Total IL loss: 1.4453
[Epoch 1 | Batch 121] Total IL loss: 1.3321
[Epoch 1 | Batch 122] Total IL loss: 1.4290
[Epoch 1 | Batch 123] Total IL loss: 1.2477
[Epoch 1 | Batch 124] Total IL loss: 1.3991
[Epoch 1 | Batch 125] Total IL loss: 1.3524
[Epoch 1 | Batch 126] Total IL loss: 1.3310
[Epoch 1 | Batch 127] Total IL loss: 1.2758
[Epoch 1 | Batch 128] Total IL loss: 1.2967
[Epoch 1 | Batch 129] Total IL loss: 1.2766
[Epoch 1 | Batch 130] Total IL loss: 1.3880
[Epoch 1 | Batch 131] Total IL loss: 1.4086
[Epoch 1 | Batch 132] Total IL loss: 1.3409
[Epoch 1 | Batch 133] Total IL loss: 1.2991
[Epoch 1 | Batch 134] Total IL loss: 1.2994
[Epoch 1 | Batch 135] Total IL loss: 1.3365
[Epoch 1 | Batch 136] Total IL loss: 1.2704
[Epoch 1 | Batch 137] Total IL loss: 1.1855
[Epoch 1 | Batch 138] Total IL loss: 1.2665
[Epoch 1 | Batch 139] Total IL loss: 1.4608
[Epoch 1 | Batch 140] Total IL loss: 1.2106
[Epoch 1 | Batch 141] Total IL loss: 1.2974
[Epoch 1 | Batch 142] Total IL loss: 1.4237
[Epoch 1 | Batch 143] Total IL loss: 1.1878
[Epoch 1 | Batch 144] Total IL loss: 1.3440
[Epoch 1 | Batch 145] Total IL loss: 1.2117
[Epoch 1 | Batch 146] Total IL loss: 1.3075
[Epoch 1 | Batch 147] Total IL loss: 1.3550
[Epoch 1 | Batch 148] Total IL loss: 1.1676
[Epoch 1 | Batch 149] Total IL loss: 1.2265
[Epoch 1 | Batch 150] Total IL loss: 1.3366
[Epoch 1 | Batch 151] Total IL loss: 1.3203
[Epoch 1 | Batch 152] Total IL loss: 1.2247
[Epoch 1 | Batch 153] Total IL loss: 1.3642
[Epoch 1 | Batch 154] Total IL loss: 1.2898
[Epoch 1 | Batch 155] Total IL loss: 1.3547
[Epoch 1 | Batch 156] Total IL loss: 1.3963
[Epoch 1 | Batch 157] Total IL loss: 1.3698
[Epoch 1 | Batch 158] Total IL loss: 1.5107
[Epoch 1 | Batch 159] Total IL loss: 1.3267
[Epoch 1 | Batch 160] Total IL loss: 1.4134
[Epoch 1 | Batch 161] Total IL loss: 1.3803
[Epoch 1 | Batch 162] Total IL loss: 1.2539
