iter,target,time
0,5.2561234021668515,0.7266182999592274
1,10.468245889742613,1.2959191999398172
2,15.642243287294667,1.8085689999861643
3,20.6953257066463,2.31792519998271
4,25.612675659365316,2.8597941000480205
5,30.50140653951625,3.3755298999603838
6,35.3871595127727,3.9045279000420123
7,40.27043355928855,4.421397899976
8,44.740211153594785,4.967853500042111
9,49.2096468935532,5.475703299976885
10,53.67800384681162,5.994252600008622
11,58.14615070103095,6.507815700024366
12,62.473923584352846,7.027815800043754
13,66.77133662151387,7.543859199970029
14,70.97050892492989,8.059758699964732
15,75.07911267452499,8.599821700016037
16,79.15786969343515,9.117474299971946
17,83.15912969263636,9.653623700025491
18,87.1135073977657,10.193934899987653
19,90.99424183254644,10.717550599947572
20,94.14004364512002,11.239124799962156
21,97.27927571690941,11.765638799988665
22,100.38728398918371,12.300653900019825
23,103.08114837569906,12.828736099996604
24,105.62128477968665,13.35085839999374
25,108.11031528935719,13.87717650004197
26,110.18005486218983,14.418772000004537
27,112.10791370407722,14.942752999952063
