[Epoch 1 | Batch 115] Total IL loss: 1.3063
[Epoch 1 | Batch 116] Total IL loss: 1.3228
[Epoch 1 | Batch 117] Total IL loss: 1.3980
[Epoch 1 | Batch 118] Total IL loss: 1.3309
[Epoch 1 | Batch 119] Total IL loss: 1.2611
[Epoch 1 | Batch 120] Total IL loss: 1.3718
[Epoch 1 | Batch 121] Total IL loss: 1.2645
[Epoch 1 | Batch 122] Total IL loss: 1.4294
[Epoch 1 | Batch 123] Total IL loss: 1.3589
[Epoch 1 | Batch 124] Total IL loss: 1.2263
[Epoch 1 | Batch 125] Total IL loss: 1.1402
[Epoch 1 | Batch 126] Total IL loss: 1.2854
[Epoch 1 | Batch 127] Total IL loss: 1.4228
[Epoch 1 | Batch 128] Total IL loss: 1.2105
[Epoch 1 | Batch 129] Total IL loss: 1.2364
[Epoch 1 | Batch 130] Total IL loss: 1.4205
[Epoch 1 | Batch 131] Total IL loss: 1.3250
[Epoch 1 | Batch 132] Total IL loss: 1.4713
[Epoch 1 | Batch 133] Total IL loss: 1.2347
[Epoch 1 | Batch 134] Total IL loss: 1.3761
[Epoch 1 | Batch 135] Total IL loss: 1.3390
[Epoch 1 | Batch 136] Total IL loss: 1.3637
[Epoch 1 | Batch 137] Total IL loss: 1.3045
[Epoch 1 | Batch 138] Total IL loss: 1.0156
[Epoch 1 | Batch 139] Total IL loss: 1.3425
[Epoch 1 | Batch 140] Total IL loss: 1.2159
[Epoch 1 | Batch 141] Total IL loss: 1.2421
[Epoch 1 | Batch 142] Total IL loss: 1.3435
[Epoch 1 | Batch 143] Total IL loss: 1.3448
[Epoch 1 | Batch 144] Total IL loss: 1.2632
[Epoch 1 | Batch 145] Total IL loss: 1.1362
[Epoch 1 | Batch 146] Total IL loss: 1.3092
[Epoch 1 | Batch 147] Total IL loss: 1.1908
[Epoch 1 | Batch 148] Total IL loss: 1.2061
[Epoch 1 | Batch 149] Total IL loss: 1.1989
[Epoch 1 | Batch 150] Total IL loss: 1.3511
[Epoch 1 | Batch 151] Total IL loss: 1.4237
[Epoch 1 | Batch 152] Total IL loss: 1.3191
[Epoch 1 | Batch 153] Total IL loss: 1.2056
[Epoch 1 | Batch 154] Total IL loss: 1.3700
[Epoch 1 | Batch 155] Total IL loss: 1.2508
[Epoch 1 | Batch 156] Total IL loss: 1.3662
[Epoch 1 | Batch 157] Total IL loss: 1.3083
[Epoch 1 | Batch 158] Total IL loss: 1.3698
[Epoch 1 | Batch 159] Total IL loss: 1.3941
[Epoch 1 | Batch 160] Total IL loss: 1.1716
[Epoch 1 | Batch 161] Total IL loss: 1.3745
[Epoch 1 | Batch 162] Total IL loss: 1.3249
[Epoch 1 | Batch 163] Total IL loss: 1.3400
[Epoch 1 | Batch 164] Total IL loss: 1.1894
[Epoch 1 | Batch 165] Total IL loss: 1.3338
[Epoch 1 | Batch 166] Total IL loss: 1.3543
[Epoch 1 | Batch 167] Total IL loss: 1.2911
[Epoch 1 | Batch 168] Total IL loss: 1.3355
[Epoch 1 | Batch 169] Total IL loss: 1.3445
[Epoch 1 | Batch 170] Total IL loss: 1.2185
[Epoch 1 | Batch 171] Total IL loss: 1.3425
[Epoch 1 | Batch 172] Total IL loss: 1.3641
[Epoch 1 | Batch 173] Total IL loss: 1.4790
[Epoch 1 | Batch 174] Total IL loss: 1.2929
[Epoch 1 | Batch 175] Total IL loss: 1.2571
[Epoch 1 | Batch 176] Total IL loss: 1.3437
[Epoch 1 | Batch 177] Total IL loss: 1.2753
[Epoch 1 | Batch 178] Total IL loss: 1.1840
[Epoch 1 | Batch 179] Total IL loss: 1.4371
[Epoch 1 | Batch 180] Total IL loss: 1.3727
[Epoch 1 | Batch 181] Total IL loss: 1.0924
[Epoch 1 | Batch 182] Total IL loss: 1.3136
[Epoch 1 | Batch 183] Total IL loss: 1.2666
[Epoch 1 | Batch 184] Total IL loss: 1.2047
[Epoch 1 | Batch 185] Total IL loss: 1.3376
[Epoch 1 | Batch 186] Total IL loss: 1.2420
[Epoch 1 | Batch 187] Total IL loss: 1.1930
[Epoch 1 | Batch 188] Total IL loss: 1.1747
[Epoch 1 | Batch 189] Total IL loss: 1.2967
[Epoch 1 | Batch 190] Total IL loss: 1.2936
[Epoch 1 | Batch 191] Total IL loss: 1.2225
[Epoch 1 | Batch 192] Total IL loss: 1.1810
[Epoch 1 | Batch 193] Total IL loss: 1.4686
[Epoch 1 | Batch 194] Total IL loss: 1.2471
[Epoch 1 | Batch 195] Total IL loss: 1.4222
[Epoch 1 | Batch 196] Total IL loss: 1.1671
[Epoch 1 | Batch 197] Total IL loss: 1.3496
[Epoch 1 | Batch 198] Total IL loss: 1.3988
[Epoch 1 | Batch 199] Total IL loss: 1.2871
[Epoch 1 | Batch 200] Total IL loss: 1.1058
[Epoch 1 | Batch 201] Total IL loss: 1.2847
[Epoch 1 | Batch 202] Total IL loss: 1.1455
[Epoch 1 | Batch 203] Total IL loss: 1.2226
[Epoch 1 | Batch 204] Total IL loss: 1.1849
[Epoch 1 | Batch 205] Total IL loss: 1.2671
[Epoch 1 | Batch 206] Total IL loss: 1.2116
[Epoch 1 | Batch 207] Total IL loss: 1.3208
[Epoch 1 | Batch 208] Total IL loss: 1.1726
[Epoch 1 | Batch 209] Total IL loss: 1.2401
[Epoch 1 | Batch 210] Total IL loss: 1.1715
[Epoch 1 | Batch 211] Total IL loss: 1.2723
[Epoch 1 | Batch 212] Total IL loss: 1.3321
[Epoch 1 | Batch 213] Total IL loss: 1.2703
[Epoch 1 | Batch 214] Total IL loss: 1.3665
[Epoch 1 | Batch 215] Total IL loss: 1.2562
[Epoch 1 | Batch 216] Total IL loss: 1.2846
[Epoch 1 | Batch 217] Total IL loss: 1.3530
