iteration,elapsed_time_sec,best_performance
0,0.03131850005593151,5.016796514816789
1,0.05830649996642023,10.299207401206555
2,0.08337799995206296,15.39009475147181
3,0.10938509996049106,19.456278478702835
4,0.13375879998784512,24.880763943989773
5,0.15989160002209246,30.107058090313746
6,0.18431699997745454,35.3576077824222
7,0.210657799965702,40.62352999573723
8,0.2374981000320986,45.27103237716646
9,0.2656546999933198,50.376853062212916
10,0.29331880004610866,54.35832498975631
11,0.3197150999912992,60.00814354978252
12,0.3451686999760568,65.03114828847633
13,0.36926489998586476,69.40042343967963
14,0.39523480006027967,73.51137890248339
15,0.42027370003052056,76.43009886267797
16,0.44545060000382364,79.60287952066233
17,0.4696953999809921,83.40064282582499
18,0.49655639997217804,85.91873856524097
19,0.5252388999797404,90.10971105859824
20,0.5525450999848545,93.02118481654287
21,0.5793832000344992,95.52961780279341
22,0.6037739999592304,98.35818066307237
23,0.6300024000229314,101.96952975898935
24,0.6546424999833107,104.62398962690494
25,0.6797992000356317,106.14510682200014
26,0.704462300054729,109.40928850957447
27,0.729621300008148,112.401866846123
28,0.7539743999950588,113.96017877514149
29,0.7798834999557585,115.6994196295305
30,0.8148056999780238,117.41839525328585
31,0.8507735000457615,117.81296348282922
32,0.8775760000571609,118.61929712707217
33,0.9048117999918759,121.41267654897797
34,0.9322809999575838,124.3736213108079
35,0.9584907999960706,125.71607094976811
36,0.990430900012143,127.25736885681766
37,1.028954799985513,128.5741941905407
38,1.0647081000497565,131.08743260190005
39,1.09057809994556,131.35161674068397
40,1.1154088999610394,132.1851982735074
41,1.1404767000349239,134.01048007021382
42,1.165731200017035,134.91469148165515
43,1.1916360999457538,135.288452051706
44,1.2154012999963015,135.96730920849097
45,1.2401478999527171,135.96730920849097
46,1.2638436000561342,136.3917900372366
47,1.2869211999932304,137.66831954594795
48,1.3108126999577507,139.3231690357695
49,1.3412417999934405,142.3473087421723
50,1.3670478999847546,142.37089288973533
51,1.39300679997541,143.254541253409
52,1.4183077999623492,144.62673308763735
53,1.4439400000264868,145.16596280045786
54,1.4690313000464812,146.28739853714606
55,1.4972759999800473,147.25169487200208
56,1.5245446000481024,148.81389192058757
57,1.5503840000601485,148.81389192058757
58,1.5759957999689505,148.972087529148
59,1.602445299969986,150.44556621833993
60,1.6274459999985993,151.72844477967539
61,1.65249110001605,153.35909104460222
62,1.6808643999975175,155.43902189171263
63,1.7052595999557525,157.79675437497403
64,1.7303150000516325,160.84197399890041
65,1.7548091999487951,161.17480717282064
66,1.7797000999562442,163.04657514719543
67,1.8037266000173986,163.071742068693
68,1.8297307000029832,163.4735716033099
69,1.8538759000366554,167.02097311668226
70,1.8809804000193253,167.02097311668226
71,1.9081249999580905,167.39834046384524
72,1.9354851000243798,169.69851450589255
73,1.9612202000571415,171.00828202134818
74,1.9855217000003904,171.49842251469926
75,2.0105436999583617,172.45200752594457
76,2.036219200002961,173.5002241345402
77,2.0618318000342697,175.86068521286677
78,2.0868970999727026,177.89208049708265
79,2.1153788999654353,178.0350066480599
80,2.142081500031054,179.0308700449511
81,2.166291099973023,180.38158761046878
82,2.194361799978651,180.48783655561965
