,0,1,2,3
0,3,3,0,0
1,0,3,3,0
2,1,1,0,0
3,0,0,0,0
4,3,3,3,3
5,0,0,1,1
6,1,3,3,2
7,1,1,1,2
8,1,1,1,1
9,0,3,0,0
10,0,0,0,0
11,1,1,2,2
12,1,2,3,3
13,3,1,2,0
14,3,1,0,3
15,1,0,1,1
16,0,0,0,3
17,0,1,1,1
18,1,0,0,2
19,2,2,2,2
20,3,3,3,3
21,0,0,0,0
22,1,1,2,3
23,1,1,1,1
24,2,1,2,1
25,1,2,2,3
26,1,1,1,1
27,3,3,3,3
28,3,1,1,2
29,1,1,1,1
30,3,2,3,3
